Algorithm,Language,Scenario,Source,AUROC,AUPRC,ACC@thr,Precision@thr,Recall@thr,F1@thr,EER,TPR@FPR=0.01,Threshold,Threshold source,Samples n_test,Samples n_pos_test,Samples n_neg_test,Samples n_val,Samples n_pos_val,Samples n_neg_val,Selection EER,Selection thr@EER,Error
KGW,Amharic,CLSA,clsa,0.5040666666666667,0.5243857255065036,0.5133333333333333,0.52,0.3466666666666667,0.416,0.52,0.006666666666666667,-0.07018624063435965,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.55,-0.6900655593423543,
KGW,Amharic,CLSA+Backtranslation,backtranslation,0.5421777777777778,0.5305765535968056,0.5166666666666667,0.5094339622641509,0.9,0.6506024096385542,0.45666666666666667,0.0,-1.2247448713915892,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.48,0.12803687993289598,
KGW,Amharic,Paraphrase,paraphrase,0.9341555555555555,0.9505756511641638,0.8666666666666667,0.8928571428571429,0.8333333333333334,0.8620689655172413,0.14666666666666664,0.6466666666666666,1.4169838169,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.125,1.1188618556,
KGW,Chinese,CLSA,clsa,0.503,0.5044639659554162,0.5233333333333333,0.5346534653465347,0.36,0.4302788844621514,0.4666666666666667,0.0,0.43133109281375365,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.495,0.13245323570650439,
KGW,Chinese,CLSA+Backtranslation,backtranslation,0.4914222222222222,0.49614280912090425,0.47333333333333333,0.4649122807017544,0.35333333333333333,0.4015151515151515,0.5133333333333334,0.006666666666666667,0.24618298195866545,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.5,-0.14586499149789456,
KGW,Chinese,CWRA,cwra,,,,,,,,,,,,,,,,,,,Test set must contain both classes (true_label 0 and 1).
KGW,Chinese,Paraphrase,paraphrase,0.9341555555555555,0.9505756511641638,0.8666666666666667,0.8928571428571429,0.8333333333333334,0.8620689655172413,0.14666666666666664,0.6466666666666666,1.4169838169,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.125,1.1188618556,
KGW,Hindi,CLSA,clsa,0.5462666666666667,0.5656764662897553,0.5333333333333333,0.5294117647058824,0.6,0.5625,0.45,0.0,0.0,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.45999999999999996,0.1203858530857692,
KGW,Hindi,CLSA+Backtranslation,backtranslation,0.4861111111111111,0.4966619893089969,0.49,0.48739495798319327,0.38666666666666666,0.4312267657992565,0.5233333333333333,0.006666666666666667,0.1690308509457033,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.43499999999999994,0.11867816581938533,
KGW,Hindi,Paraphrase,paraphrase,0.9341555555555555,0.9505756511641638,0.8666666666666667,0.8928571428571429,0.8333333333333334,0.8620689655172413,0.14666666666666664,0.6466666666666666,1.4169838169,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.125,1.1188618556,
KGW,Overall,Baseline,baseline,0.9341555555555555,0.9505756511641638,0.8666666666666667,0.8928571428571429,0.8333333333333334,0.8620689655172413,0.14666666666666664,0.6466666666666666,1.416983816864152,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.125,1.118861855571031,
